ID,SU
-,sajabana
-,dahdir
-,maenya
-,kapalang
-,ari
abad,
abadi,langgeng
abang,akang
abu,lebu
abu-abu,dawuk
acak,awut
acara,
acaranya,acarana
ada,aya
adalah,nyaéta
adanya,ayana
adapun,sedengkeun
adegan,
adik,adi
adil,
adu,
adu,abén
agak,rada
agama,ageman
agamanya,agamana
agar,ambéh
agenda,agénda
agung,
agustus,
ahad,
ahli,
air,cai
airmatanya,cipanonna
aja,waé
ajak,
ajakan,
ajaran,
ajudan,
akal,uteuk
akan,bakal
akan,baris
akar,
akhir,ahir
akhirat,ahérat
akhirnya,ahirna
akhirnya,pamustunganana
akibat,alatan
akibat,balukar
akibatnya,balukarna
akibatnya,matakna
aksara,
akses,aksés
aksesnya,aksésna
aksi,
aksinya,aksina
aktif,aktip
aktifkan,aktipkeun
aktivitasnya,kagiatanana
aku,kuring
akun,rekening
akur,
alam,
alamat,
alamatnya,alamatna
alasan,alesan
alasan,ékol
alasannya,alesanna
alat,pakakas
album,albeum
alias,landian
alih,
alis,halis
alkohol,
alu,halu
aman,
amanah,amanat
amanat,
amarah,
amati,titénan
ambil,cokot
amblas,ambles
ambulans,ambulan
ampas,hampas
amplop,
amunisi,
anak,pecil
anak,cucu
anak,anak
anak-anak,barudak
anakku,anaking
anaknya,anakna
analisis,
ancaman,anceman
ancamnya,ancemna
ancang-ancang,awahan
anda,anjeun
aneh,ahéng
aneh-aneh,ararahéng
aneka,rupa-rupa
anggapan,
anggaran,
anggota,
anggotanya,anggotana
angin,
angin,angin
angka,
angkasa,jomantara
angkatan,
angklung,
angsa,soang
aniaya,kaniaya
animasi,
anjing,
antara,antara 
antaranya,antarana
anti,
anting,kurabu
antri,ngantay
antri,untuy
anugerah,kasinugrahan
anugrah,kasinugrahan
anus,bool
apa,naon
apa-apa,nanaon
apabila,lamun
apakah,naha
apakan,naonkeun
apalagi,upadi
apalagi,angot
apalagi,sumawona
apapun,naon ogé
aparat,
api,seuneu
apit,hapit
apotek,apoték
apotik,apoték
april,
arah,
arahan,
area,wewengkon
arena,aréna
armada,
arsip,
arsitek,arsiték
arti,harti
artikel,
artinya,hartina
arus,
asal,
asalnya,asalna
asap,haseup
asas,
asasi,
ashar,asar
asin,
asing,
asing,deungeun
asli,
asli,pituin
aslinya,aslina
asma,mengi
aspal,
aspek,aspék
asrama,
asri,
asyik,uplek
atap,hateup
atas,luhur
atasannya,saluhureunana
atasnya,luhurna
atau,atawa
ataukah,atawa
ataupun,atawa
atlet,atlét
aturan,
awal,mimiti
awalnya,mimitina
awalnya,awalna
awas,kadé
awet,awét
awut-awutan,pabaliut
ayah,abah
ayahnya,bapana
ayam,hayam
ayam,kotok
ayat,
ayo,hayu
bab,
babak,
babakan,
baca,maca
bacaan,
bada,sabada
badan,awak
badan,
badannya,awakna
bagaikan,kawas
bagaikan,lir
bagaimana,kumaha
bagaimanapun,kumaha ogé
bagi,pasi
bagi,bagé
bagi,pikeun
bagian,
bagus,alus
bahagia,bagja
bahan,
bahasa,basa
bahasanya,basana
bahkan,komo
bahwa,yén
baik,alus
baiklah,mangga
baiknya,alusna
bait,pada
baja,waja
bajakan,bajoan
bajigur,
baju,kaway
baju,acuk
baju,
bakal,bakal
bakalan,bakal
bakar,huru
bakar,duruk
bakar,beuleum
bakat,
bakti,baktos
bakul,boboko
balai,balé
balas,bales
